transaction_id,client_id,product_id,transaction_date,amount,transaction_type,status
1,1,5,2025-04-10,585.79,Transfer,Failed
2,136,4,2025-04-06,16363.69,Withdrawal,Failed
3,5,4,2025-04-20,1242.81,Withdrawal,Failed
4,3,2,2025-04-10,6426.06,Transfer,Completed
5,32,5,2025-04-25,17921.2,Payment,Completed
6,147,5,2025-04-02,13053.86,Payment,Pending
7,128,4,2025-04-17,7418.17,Payment,Failed
8,108,5,2025-04-23,1481.19,Deposit,Completed
9,91,3,2025-04-13,8751.15,Deposit,Failed
10,70,4,2025-04-15,7492.71,Payment,Pending
11,77,4,2025-04-21,3940.08,Deposit,Pending
12,23,4,2025-04-20,8118.24,Payment,Failed
13,146,2,2025-04-27,12073.27,Payment,Pending
14,62,4,2025-04-09,1379.56,Payment,Pending
15,77,2,2025-04-12,3079.81,Withdrawal,Failed
16,56,3,2025-04-20,1708.25,Withdrawal,Failed
17,128,3,2025-04-21,18180.02,Transfer,Completed
18,29,3,2025-04-10,8393.58,Transfer,Pending
19,89,3,2025-04-28,13246.61,Withdrawal,Failed
20,15,1,2025-04-12,2788.11,Withdrawal,Failed
21,44,1,2025-04-12,7998.65,Withdrawal,Pending
22,82,4,2025-04-24,14731.63,Transfer,Pending
23,72,2,2025-04-26,1131.98,Transfer,Failed
24,68,3,2025-04-12,14846.94,Withdrawal,Pending
25,77,5,2025-04-17,1180.34,Transfer,Completed
26,9,5,2025-04-28,13489.79,Payment,Completed
27,57,3,2025-04-08,18994.9,Withdrawal,Completed
28,116,5,2025-04-30,8085.37,Withdrawal,Completed
29,147,5,2025-04-02,14012.36,Deposit,Failed
30,124,3,2025-04-14,15215.21,Withdrawal,Failed
31,20,1,2025-04-20,7990.36,Transfer,Completed
32,105,3,2025-04-03,11717.82,Deposit,Completed
33,14,5,2025-04-21,4633.31,Deposit,Failed
34,97,3,2025-04-27,15807.02,Withdrawal,Pending
35,47,3,2025-04-15,5563.85,Transfer,Pending
36,10,3,2025-04-07,2522.69,Withdrawal,Completed
37,124,5,2025-04-19,18853.87,Deposit,Failed
38,22,5,2025-04-18,6234.01,Deposit,Completed
39,76,5,2025-04-09,7900.3,Payment,Pending
40,38,1,2025-04-26,7226.32,Payment,Completed
41,25,1,2025-04-02,3025.29,Withdrawal,Pending
42,118,5,2025-04-18,17902.47,Deposit,Failed
43,118,4,2025-04-11,1549.63,Payment,Pending
44,99,5,2025-04-20,9303.22,Payment,Failed
45,132,1,2025-04-17,9853.45,Withdrawal,Pending
46,139,4,2025-04-26,3480.51,Transfer,Pending
47,55,4,2025-04-04,3994.35,Payment,Failed
48,104,2,2025-04-02,487.5,Deposit,Failed
49,64,2,2025-04-21,3666.01,Payment,Pending
50,16,4,2025-04-10,15931.51,Transfer,Completed
51,36,1,2025-04-27,5439.82,Transfer,Failed
52,59,2,2025-04-25,10554.9,Withdrawal,Failed
53,16,5,2025-04-21,9624.43,Transfer,Failed
54,144,5,2025-04-30,12949.01,Withdrawal,Pending
55,46,5,2025-04-16,14419.13,Payment,Pending
56,51,4,2025-04-26,8033.14,Deposit,Completed
57,118,5,2025-04-06,17109.25,Deposit,Pending
58,32,2,2025-04-20,7281.63,Withdrawal,Failed
59,77,5,2025-04-21,11014.25,Payment,Failed
60,144,4,2025-04-05,13144.18,Payment,Failed
61,123,3,2025-04-28,2455.94,Withdrawal,Failed
62,60,1,2025-04-27,2888.31,Payment,Completed
63,108,3,2025-04-04,5667.86,Transfer,Completed
64,13,5,2025-04-14,6576.68,Transfer,Failed
65,39,1,2025-04-06,11619.09,Payment,Completed
66,29,2,2025-04-18,9741.0,Transfer,Pending
67,27,5,2025-04-26,17693.49,Deposit,Pending
68,79,3,2025-04-16,2877.85,Withdrawal,Failed
69,34,4,2025-04-16,1949.44,Deposit,Completed
70,35,1,2025-04-30,4644.45,Payment,Pending
71,125,5,2025-04-26,12725.77,Deposit,Pending
72,63,4,2025-04-08,1948.49,Withdrawal,Failed
73,97,1,2025-04-16,12912.95,Payment,Completed
74,28,4,2025-04-10,7845.8,Withdrawal,Completed
75,107,4,2025-04-30,2009.03,Deposit,Failed
76,63,2,2025-04-04,3423.23,Transfer,Pending
77,63,2,2025-04-09,2870.68,Deposit,Failed
78,81,3,2025-04-16,13066.55,Payment,Pending
79,48,1,2025-04-12,5294.48,Payment,Completed
80,133,3,2025-04-17,15264.84,Payment,Completed
81,26,2,2025-04-12,4265.87,Deposit,Pending
82,117,3,2025-04-15,6132.9,Transfer,Completed
83,131,1,2025-04-14,15956.03,Transfer,Pending
84,68,2,2025-04-06,12803.45,Transfer,Failed
85,148,5,2025-04-17,18434.85,Payment,Completed
86,87,5,2025-04-10,10562.67,Transfer,Pending
87,61,5,2025-04-01,13320.4,Transfer,Failed
88,56,1,2025-04-11,14415.73,Transfer,Pending
89,92,1,2025-04-15,10269.61,Deposit,Failed
90,43,4,2025-04-06,1393.12,Payment,Pending
91,93,4,2025-04-25,6815.71,Withdrawal,Pending
